Категория;Оригинал;Перевод;Пояснение;Смотри также;Комментарий
Животные и чудовища;Ace the Bat-Hound;Бэт-гончая Эйс;Имя нескольких собак, живших в семье Уэйнов.;;
Животные и чудовища;Bat-Cow;Бэт-корова;Корова, спасённая с бойни Дэмиеном Уэйном и оставшаяся жить в поместье Уэйнов.;;
Животные и чудовища;Congorilla;Конгорилла;Горилла, с которой мог обмениваться сознанием Конго Билл, пока окончательно не занял её тело.;Конго Билл;
Животные и чудовища;Crockett the Raccoon;Енот Крокетт;Домашний енот и шапка из его меха, принадлежащие Корки Бакстеру.;;
Животные и чудовища;Dollotrons;Куклотроны;Изуродованные жертвы экспериментов Профессора Пига, превращённые в подобия кукол‑роботов.;Профессор Пиг;
Животные и чудовища;Gleek;Глик;Синий эластичный примат с планеты Эксор, питомец Чудо‑близнецов Зена и Джейны.;;Произношение можно послушать в 32-м эпизоде (или первом эпизоде третьего сезона) мультсериала «Супердрузья» (1973). [Прим. D.Crane]
Животные и чудовища;Hooty;Хути;Питомец-филин Чарльза Макнайдера.;;
Животные и чудовища;Monk Hogan;Мак Хоган;Обезьяна, сопровождавшая моряка-авантюриста Лэнса О’Кейси, была неофициальным старпомом на его первом корабле.;;Monk здесь это сокращение от monkey. При адаптации стало «Мак» — как сокращение от «макаки». [Прим. D.Crane]
Животные и чудовища;Pegasus;Пегас;Крылатый конь, рождённый из отрубленной головы горгоны Медузы, служивший полубогу Персею и Чудо‑женщине.;;
Животные и чудовища;Pooch;Барбос;Военный пёс Второй мировой, талисман отряда Лузеры, награждённый медалью «Пурпурное сердце».;Лузеры;Pooch — это буквально жаргонный синоним слова «собака», так что подразумевается, что пса толком никто и не назвал, и он был сам по себе. Более подходящего варианта, чем «пёс-барбос», найти не удалось. [Прим. D.Crane]
Животные и чудовища;Rex the Wonder Dog;Чудо-пёс Рекс;Собака, получившая сверхсилы в результате эксперимента и служившая в армейском корпусе во время нескольких войн.;;
Животные и чудовища;Salty the Aquadog;Аквапёс Сэлти;Домашний пёс Артура Карри и Меры.;;
Животные и чудовища;Slasher;Забияка;Ручной сокол Тихого Рыцаря.;;
Животные и чудовища;Streak the Wonder Dog;Чудо-пёс Стрик;Отважный пёс, прошедший путь от деревенского героя до спутника Алана Скотта.;;
Животные и чудовища;Streaky the Super-Cat;Суперкот Стрики;Кот Кары Зор-Эл, получивший сверхспособности благодаря необычному криптониту.;;
Животные и чудовища;Tawny;Рыжик;Тигр, обитающий в зоопарке Филадельфии.;;
Животные и чудовища;Teekl;Тикл;Волшебный фамильяр юного колдуна Клэриона. Пол — меняет от автора к автору, так что, если не указано иного, то это кот.;Ведьмачонок Клэрион;
Животные и чудовища;Thor the Thunder Dog;Громовой пёс Тор;Пёс, ставший спутником Дэна Ричардса, который оказался роботом-шпионом Охотников.;;
Животные и чудовища;Titus;Тит;Датский дог, ставший домашним питомцем Дэмиена Уэйна.;;
Животные и чудовища;Vanguard;Авангард;Крылатая кобыла Юстины.;Юстина;
Животные и чудовища;Winged Victory;Крылатый Триумф;Крылатый мерин Сэра Джастина.;Сэр Джастин;
Животные и чудовища;Wonder Dog;Чудо-пёс;Пёс в плаще, спутник Венди Харрис и Марвина Уайта, позже ставший адской гончей Лика.;;
Имена персонажей;A-Mortal;Эй-мортал;Белый марсианин из Гиперклана, маскировавшейся под спасителей Земли с целью её завоевания.;;
Имена персонажей;Aaron Cash;Аарон Кэш;Охранник лечебницы Аркхем, потерявший руку в схватке с Убийцей Кроком и получивший прозвище «Капитан Крюк» от заключённых.;;
Имена персонажей;Aaron Cole;Аарон Коул;Внук Джошуа Коула, пилот Гостинной.;;
Имена персонажей;Aaron Helzinger;Аарон Хельцингер;Гигант‑силач с повреждённым мозгом.;Амигдала;
Имена персонажей;Abby Arcane (Abigail Arcane, Abigail Cable, Abigail Holland);Эбби Аркейн (Эбигейл Аркейн, Эбигейл Кейбл, Эбигейл Голланд);Дочь Григория Аркейна, племянница Антона Аркейна, бывшая жена Мэтта Кейбла, возлюбленная Болотной Твари, мать Голланд и аватар Гнили.;Королева Черноты;
Имена персонажей;Abdul Ibn Bey (Abdul the Arab);Абдул ибн Бей (Абдул Араб);Арабский авантюрист, ставший шейхом в 22 года и странствовавший с верным спутником среди пустынь, бандитов и политических противоречий эпохи перед Второй мировой войной.;;
Имена персонажей;Abel;Авель;Первая жертва убийства, брат Каина, бессмертный хранитель секретов, обитающий в Мире Снов.;;
Имена персонажей;Abel Tarrant;Абель Таррант;Моряк, ставший преступником и первым Татуированным, научившись создавать предметы из татуировок с помощью таинственных химикатов.;Татуированный;
Имена персонажей;Abin Sur;Абин Сур;Зелёный Фонарь сектора 2814, погиб при крушении корабля на Земле.;Зелёный Фонарь;
Имена персонажей;Abnegazar;Абнегазар;Могущественный демон из Демонической Тройки, некогда правивший Землёй.;;
Имена персонажей;Abner Krill;Абнер Крилл;Злодей в костюме со точками, которые превращаются в оружие и средства передвижения.;Человек-в-горошек;
Имена персонажей;Abra Kadabra (Citizen Abra);Абра Кадабра (Гражданин Абра);Фокусник из 64‑го века, использующий науку будущего для совершения преступлений.;;
Имена персонажей;Abyssma;Абиссма;Член Корпуса Красных Фонарей, бесследно исчезнувший после Война Света.;Крассный Фонарь;
Имена персонажей;Ace Android;Андройд Туз;Созданный Дереком Рестоном робот, состоящий на службе банды Роял-флэш.;Банда Роял-флэш;
Имена персонажей;Ace Arn;Эйс Арн;Космический гид, волей кометы оказавшийся в далёкой от Земли звёздной системе, где обрёл силы четырёх инопланетных рас.;Мульти-инопланетянин Ультра;
Имена персонажей;Ace Morgan (Kyle Morgan);Ас Морган (Кайл Морган);Отважный лётчик, один из основателей команды Исследователей Неизведанного.;;
Имена персонажей;Ace West (Wallace Daniel West);Эйс Уэст (Уоллес Дэниел Уэст);Сын Дэнни Уэст, племянник Айрис Уэст, кузен Уолли Уэста, который раньше был его воук-версией.;Кид-Флэш;
Имена персонажей;Adam Blake;Адам Блейк;Герой, который из-за излучения кометы развился на тысячу лет вперёд и отправился к источнику своих сил.;Капитан Комета;
Имена персонажей;Adam Cray;Адам Крэй;Третий носитель имени Атом, погибший во время службы в Отряде Самоубийц.;Атом;
Имена персонажей;Adam Fells;Адам Феллс;Суперзлодей, управлявший землёй, начавший путь наёмником, вступивший в Общество несправедливости и погибший при попытке освобождения.;Геомант;
Имена персонажей;Adam Strange;Адам Стрэндж;Земной герой, сражающийся с преступностью в галактике при помощи лазерного оружия и реактивного ранца, отец Алии Стрэндж.;;
Имена персонажей;Adam Waterman;Адам Уотерман;Отшельник-герой, выросший в тайной подводной лаборатории, ставший первым Акваменом.;Аквамен;
Имена персонажей;Adara;Адара;Сущность надежды, способная формировать энергетические конструкции без необходимости силы воли.;Сущности, Корпус Синих Фонарей;
Имена персонажей;Adeline Kane (Adeline Rosemary Kane);Аделин Кейн (Аделин Розмари Кейн);Бывшая жена Слэйда Уилсона и мать его сыновей — Гранта и Джоуи Уилсонов.;;
Имена персонажей;Adrian Chase (Adrian Allen Chase);Эдриан Чейз (Эдриан Аллен Чейз);Бывший окружной прокурор и судья Нью-Йорка, ставший вторым Линчевателем после убийства семьи мафией.;Линчеватель;
Имена персонажей;Adrian Veidt (Adrian Alexander Veidt);Адриан Вейдт (Адриан Александр Вейдт);Гениальный стратег, ради объединения мира устроивший фальшивое инопланетное вторжение и пожертвовавший миллионами жизней.;Озимандия;
Имена персонажей;Adrianna Anderson;Адрианна Андерсон;Ассистентка Вероники Кейл, ментальный слепок которой после смерти превратили в могущественный искусственный интеллект.;Доктор Кибер;
Имена персонажей;Ahn Kwang-Jo;Ан Кванчжо;Сын короля-дракона Мунму, получивший от него сверхсилы, участник Лиги Справедливости Китая.;Сын Дракона;
Имена персонажей;Al Pratt (Albert Pratt);Ал Пратт (Альберт Пратт);Первый герой, носивший имя Атом, крёстный отец Ала Ротштейна, родной отец Гранта Эмерсона.;Атом;В большинстве просмотренных роликов на YouTube персонажа называют «Ал», а не «Эл». Хотя в одиннадцатом эпизоде девятого сезона сериала «Тайны Смолвиля» (2001) произносят именно «Эл». Но в первых двух эпизодах второго сезона «Флэша» (2014) того же Ала Ротштейна называют чётко «Ал». Так как оба персонажа — Альберты, правильнее всё же «Ал». [Прим. D.Crane]
Имена персонажей;Al Rothstein (Albert Julian Rothstein);Ал Ротштейн (Альберт Джулиан Ротштейн);Метачеловек, унаследовавший способность управлять молекулярной структурой тела, внук Терри Кёртиса, воспитанник Ала Пратта.;Нуклон, Атом-Крушитель;Произношение можно послушать в первом эпизоде второго сезона сериала «Флэш» (2014). [Прим. D.Crane]
Имена персонажей;Alan Armstrong;Алан Армстронг;Богатый лётчик и спортсмен, во время Второй мировой войны боровшийся с диверсантами и шпионами.;Гроза Шпионов, Гроза Преступности;
Имена персонажей;Alan Scott (Alan Wellington Ladd-Scott);Алан Скотт (Алан Веллингтон Лэдд-Скотт);Молодой инженер, ставший первым на Земле Зелёным Фонарём.;Зелёный Фонарь;
Имена персонажей;Alan Wayne;Алан Уэйн;Патриарх семьи Уэйн после Гражданской войны в США, основатель «Уэйн Энтерпрайзес», предок Брюса Уэйна.;;
Имена персонажей;Alanna Strange (Alanna Lewis);Аланна Стрэндж (Аланна Льюис);Жительница планеты Ранн, супруга Адама Стрэнджа, мать Алии Стрэндж, опытный боец и дочь великого учёного Сардата.;;
Имена персонажей;Alba Garcia;Альба Гарсия;Участница проекта «Вознесение», получившая связь с Багрянцем и Зеленью, ставшая четвёртой Чёрной Орхидеей.;Чёрная Орхидея;
Имена персонажей;Albert Desmond;Альберт Десмонд;Преступник-химик, который начинал как Мистер Элемент, но после обнаружения Философского камня стал известен как Доктор Алхимия.;Доктор Алхимия, Мистер Элемент;
Имена персонажей;Albert Elwood;Альберт Элвуд;Эксцентричный изобретатель, выступающий под маской второго Багрового Мстителя.;Багровый Мститель;
Имена персонажей;Albert Michaels;Альберт Майклс;Учёный, превратившийся в изуродованного радиацией преступника после катастрофы на подводной лодке.;Ядерный Череп;
Имена персонажей;Alberto Falcone;Альберто Фальконе;Сын Кармайна Фальконе, брат Софии и Марио Фальконе, отец Китрины Фальконе, серийный убийца по прозвищу Праздник.;Праздник;
Имена персонажей;Albrecht Krieger;Альбрехт Кригер;Суперзлодей нацистской Германии.;Капитан Нацист;
Имена персонажей;Alcippe (Antiope);Алкиппа (Антиопа);Царица Темискиры, мать Ипполиты, Аталанты, Астарты и Антиопы, бабушка Дианы Принс.;;
Имена персонажей;Alec Holland;Алек Голланд;Учёный, чьё сознание слилось со вторым воплощением Болотной Твари, став единым существом с ней.;Болотная Тварь;
Имена персонажей;Alecto;Алекто;Богиня мщения в древнегреческой мифологии, одна из трёх эриний.;;
Имена персонажей;Aleea Strange;Алия Стрэндж;Дочка Адама и Аланны Стрэнджов.;;Произношение можно послушать в короткометражном мультфильме «Витрина DC: Адам Стрэндж» (2020). [Прим. D.Crane]
Имена персонажей;Alex Allston (Alexander Allston);Алекс Оллстон (Александр Оллстон);Один из двух подростков, превращённых Эмилем Гамильтоном в новых паразитов.;Паразит;
Имена персонажей;Alex Luthor (Alexander Luthor Jr.);Алекс Лютор (Александр Лютор мл.);Герой с Земли-Три, сын Лекса Лютора и Лоис Лейн, управляющий материей и антиматерией.;;
Имена персонажей;Alex Montez (Alexander Montez);Алекс Монтес (Александр Монтес);Герой, подчинивший силу демона Эклипсо и сохранивший контроль над собой благодаря мистическим татуировкам.;;
Имена персонажей;Alex Olsen (Alexander Olsen);Алекс Олсен (Александр Олсен);Учёный, превратившийся в первую Болотную Тварь после предательства друга.;Болотная Тварь;
Имена персонажей;Alex Sanchez (Alejandro Sanchez);Алекс Санчез (Алехандро Санчез);Нью-йоркский детектив, обретший вторую жизнь под личиной третьего Разжигателя.;Разжигатель;
Имена персонажей;Alex Sartorius (Alexander Sartorius);Алекс Сарториус (Александр Сарториус);Мутировавший учёный, превратившийся в источник радиации и ставший врагом Бэтмена после аварии на АЭС.;Доктор Фосфор;
Имена персонажей;Alex Trent (Alexander Trent);Алекс Трент (Александр Трент);Фанатичный расист, член организации «Арийское братство».;Бладспорт;
Имена персонажей;Alexandra Allston;Александра Оллстон;Один из двух подростков, превращённых Эмилем Гамильтоном в новых паразитов.;Паразит;
Имена персонажей;Alexis Kaye;Алексис Кэй;Одержимая Джокером студентка, поверившая в высшую цель его преступлений.;Панчлайн;
Имена персонажей;Alfred Beagle;Альфред Бигл;Дворецкий семьи Уэйнов и помощник Бэтмена до Кризиса на Бесконечных Землях.;;
Имена персонажей;Alfred Pennyworth (Alfred Thaddeus Crane Pennyworth);Альфред Пенниуорт (Альфред Таддеус Крейн Пенниуорт);Верный дворецкий семьи Уэйнов, воспитавший Брюса Уэйна, военный медик и преданный помощник Бэтмена, отец Джулии Пенниуорт.;;
Имена персонажей;Alfy Twidgett (Alfred Twidgett);Альфи Твиджетт (Альфред Твиджетт);Британский участник отряда Детей-коммандос.;Дети-коммандос;
Имена персонажей;Alitha;Алита;Отважная гладиаторка из гогибшего Третьего Мира, ставшая одной из первых семи Зелёных Фонарей.;Зелёный Фонарь;
Имена персонажей;Alix Harrower;Аликс Харроуэр;Бывшая учительница, обретшая неуязвимость после трагического эксперимента мужа с искусственной кожей, ставшая супергероиней.;Пулетёр;
Имена персонажей;Alpheus;Алфей;Настоящее имя Кузнеца Миров.;Кузнец Миров;
Имена персонажей;Alphonso Giovanni;Альфонсо Джованни;Итальянский супергерой, вдохновлённый Бэтменом и образом римских легионеров, предавший идеалы ради славы, отец Пеппи Джованни.;Легионер;
Имена персонажей;Alura-El (Alura In-Ze);Алура-Эл (Алура Ин-Зе);Криптонская учёная, мать Кары Зор-Эл и супруга Зор-Эла.;;
Имена персонажей;Alysia Yeoh;Алисия Йео;Художница-активистка сингапурского происхождения и близкая подруга Барбары Гордон.;;
Имена персонажей;Amadeus Arkham;Амадей Аркхем;Основатель Лечебницы Аркхем, психолог 20 века, чья трагическая личная история повлияла на создание учреждения.;;
Имена персонажей;Amanda Waller (Amanda Belle Blake);Аманда Уоллер (Аманда Белль Блейк);Правительственный агент США, руководитель Отряда самоубийц.;;
Имена персонажей;Amazing Grace;Удивительная Грация;Сестра Великолепного Годфри, тайный агент Дарксайда, притворяющаяся мятежницей и провоцирующая восстания ради их подавления.;;
Имена персонажей;Amentep;Аментеп;Древнеегипетский принц, получивший от бога Тота магический Ибистик.;Неуязвимый Ибис;
Имена персонажей;Amina Eluko;Амина Элуко;Юная напарница Берил Хатчинсон.;Сквайр;
Имена персонажей;Amos Fortune;Амос Фортуна;Суперзлодей, связывающий преступления с темой удачи и азартных игр, участник банды Роял-флэш и Тайного Общества Суперзлодеев.;Банда Роял-флэш;Имя Амос переводится с иврита как «бремя». Вместе с фамилией оно образует забавное сочетание «бремя удачи». В связи с этим фамилию лучше адаптировать как «Фортуна», вместо хоть более правильного, но не такого очевидного «Форчун». [Прим. D.Crane]
Имена персонажей;Amy Winston (Amaya);Эми Уинстон (Амая);Принцесса Самоцветии, наследница Дома Аметистов, которая была вынуждена скрываться на Земле.;Аметист;
Имена персонажей;Anaïs Arcane;Анаис Аркейн;Дальняя родственница Ганса фон Хаммера цыганского происхождения, мать Антона, Анелы и Григория Аркейнов.;;
Имена персонажей;Anais Guillot;Анаис Гийо;Участница французского сопротивления во время Второй мировой войны, действовавшая под псевдонимом Мадемуазель Мари.;Мадемуазель Мари;
Имена персонажей;Andre Blanc-Dumont;Андре Блан-Дюмон;Французский лётчик и агент разведки, входивший в эскадрилью «Чёрный Ястреб».;Эскадрилья «Чёрный Ястреб» ;
Имена персонажей;Andre Chavard (Pierre Chavard);Андре Шавар (Пьер Шавар);Французский военный, участник отряда Детей-коммандос, позднее — глава шпионского агентства Департамент Гамма.;Дети-коммандос;
Имена персонажей;Andre Cipriani (Dre-B-Robbin);Андре Чиприани (Дре-Би-Роббин);Семнадцатилетний бунтарь, бывший вундеркинд-пианист, переживший семейную трагедию, вступивший в молодёжное движение «Мы — Робин».;;
Имена персонажей;Andre Twist;Андре Твист;Активист, обретший пирокинетические способности после катастрофы и ставший четвёртым Разжигателем.;Разжигатель;
Имена персонажей;Andrea Beaumont (Andi Beaumont);Андреа Бомонт (Энди Бомонт);Бывшая невеста Брюса Уэйна, взявшая облик мстителя Фантазма ради расплаты за отца.;Фантазм;
Имена персонажей;Andrew Bennett;Эндрю Беннетт;Родившийся в XVI веке вампир, обращённый самим Каином, первым вампиром.;Я, вампир;
Имена персонажей;Andrew Lincoln;Эндрю Линкольн;Полковник, возглавляющий команду спецназначения «Чёрный Ястреб», участвующую в операциях против террористов.;Чёрный Ястреб;
Имена персонажей;Andy Curry (Andrina Curry);Энди Карри (Андрина Карри);Дочь Артура Карри и Меры с атлантической наследственностью.;Аквавумен;Девочку назвали в честь одной из сестёр русалочки Ариэль из диснеевского мультфильма. [Прим. D.Crane]
Имена персонажей;Angela Hawkins III;Анджела Хокинс III;Преодолевающая собственные страхи злодейка, вселяющая ужас в других и колеблющаяся между преступным путём и искуплением.;Фобия;
Имена персонажей;Angelo Bend;Анджело Бенд;Профессиональный вор родом из Италии, который сумел завладеть загадочным Треугольником.;Угольник;
Имена персонажей;Aniela Arcane;Анела Аркейн;Дочь Анаис Аркейн, сестра Антона и Григория Аркейнов, а также тётя Эбби Аркейн.;;Семья Аркейнов имеет румынские корни, и имена всех её членов адаптированы в восточноевропейской манере. [Прим. D.Crane]
Имена персонажей;Anissa Pierce;Анисса Пирс;Дочь Джефферсона Пирса и сестра Дженнифер Пирс, тоже ставшая супергероиней, способной изменять плотность своего тела.;Гром;
Имена персонажей;Anita Fite;Анита Файт;Девушка, выросшая под покровительством вудуистской богини Оа.;Царица;
Имена персонажей;Anna Resik;Анна Резик;Приверженка Церкви Крови и мать восьмого Себастиана Блада.;Мать Резни;
Имена персонажей;Anthro;Антро;Один из первых представителей рода кроманьонцев, вождь Племени Медведя и первый истинный герой человечества.;;
Имена персонажей;Antiope;Антиопа;Амазонка с Темискиры, сестра Ипполиты, Аталанты и Астарты, тётя Дианы Принс, соосновательница города амазонок Бана-Мигдалл.;;
Имена персонажей;Antithesis;Антитезис;Существо с чудовищной внешностью, поглощающее негативные эмоции для межмерного перемещения и гипнотизирующее жертв.;;
Имена персонажей;Anton Arcane;Антон Аркейн;Сын Анаис Аркейн, брат Григория и Анелы Аркейнов, а также дядя Эбби Аркейн, злодейский колдун и учёный, одержимый идеей бессмертия.;;
Имена персонажей;Anton Hastor;Антон Хастор;Реинкарнация древнеегипетского жреца Хат-Сета.;Хат-Сет;
Имена персонажей;Anton Schott;Антон Шотт;Изобретатель, превращавший похищенных детей в кибернетических кукол‑рабов, сын Уинслоу Шотта.;Кукольник;
Имена персонажей;Anzor;Анзор;Чеченец, который когда-то работал на Лекса Лютора, проводившего тайные эксперименты с жидкостью из Ям Лазаря в кавказских горах.;Серый Волк;
Имена персонажей;Aphrodite;Афродита;Древнегреческая богиня любви, красоты и плодородия, покровительница амазонок и супруга Гефеста.;;
Имена персонажей;Apollo (Phoebus Apollo);Аполлон (Феб Аполлон);Древнегреческий бог солнца, света, поэзии, музыки и медицины, сын Зевса и брат Артемиды.;;
Имена персонажей;Appa Ali Apsa;Аппа Али Апса;Бессмертный Хранитель Вселенной, выступавший посредником между Стражами и смертными.;;Произношение можно послушать в мультфильме «Зелёный Фонарь: Первый полёт» (2009). [Прим. D.Crane]
Имена персонажей;Arak Red-Hand (Erik Red-Hand);Арак Краснорукий (Эрик Краснорукий);Последний представитель племени квантаука, воспитанный викингами воин, служивший при дворе Карла Великого.;Арак, Телос;
Имена персонажей;Arak Wind-Walker;Арак Ветроход;Суперзлодей, способный создавать ураганы и торнадо, потомок Арака, Сына Грома, который решил опозорить его имя.;Арак;
Имена персонажей;Aram Al Ashir;Арам аль-Ашир;Принц Каамбуки в Скартарисе, отказавшийся от престола ради жизни величайшего вора.;;
Имена персонажей;Arani Desai (Arani Desai-Caulder);Арани Десаи (Арани Десаи-Колдер);Жена Найлса Колдера родом из Индии, получившая от него в дар бессмертие и сверхспособности, которые не защитили ее от инопланетян.;Цельсия;
Имена персонажей;Arch Asher (Archibald Asher, Arch Stanton);Арч Эшер (Арчибальд Эшер, Арч Стэнтон);Солдат времён Второй мировой, заряжавший орудия на Танке с Приведением.;;
Имена персонажей;Archie O'Toole;Арчи О’Тул;Бедный странствующий художник, случайно свергнувший диктатора и провозглашённый новым королём Пиромании.;;
Имена персонажей;Archie Waller;Арчи Уоллер;Племянник Аманды Уоллер, психический убийца и бывший агент АРГОС, обладающий множеством психических способностей.;Дэдай;
Имена персонажей;Arella (Angela Roth);Арелла (Анджела Рот);Мать супергероини Рэйвен, попавшая в сатанинский культ, соблазнённая демоном Тригоном и разлученная с дочерью.;;Произношение можно послушать в седьмом эпизоде четвёртого сезона мультсериала «Юные Титаны» (2003). [Прим. D.Crane]
Имена персонажей;Ares;Арес;Древнегреческий бог войны, порождающий насилие и войны.;;
Имена персонажей;Ariel Curry;Ариэль Карри;Царица Атлантиды с Земли-11, лидер Гильдии Справедливости.;Аквавумен;
Имена персонажей;Arion (Ahri'ahn, Jean-Simon Giscard D'Arion);Арион (Ари'ан, Жан-Симон Жискар д'Арион);Бессмертный полубог Атлантиды, величайший волшебник в истории, сын царской четы Калкулы и Маджистры, брат-близнец Гарна Даанута.;;
Имена персонажей;Arisia Rrab (Cindy Simpson);Арисия Рраб (Синди Симпсон);Зелёный Фонарь, ещё подростком унаследовавшая эту роль от своего отца с планеты Граксос IV.;Зелёный Фонарь;
Имена персонажей;Aristides Demetrios;Аристид Деметриос;Греческий супергерой из Афин.;Олимпиец;
Имена персонажей;Arkillo;Аркилло;Инопланетный монстр с планеты Ворн, получивший от Синестро кольцо силы за способность вселять страх.;Жёлтый Фонарь;
Имена персонажей;Armek;Армек;Белый марсианин из Гиперклана, маскировавшейся под спасителей Земли с целью её завоевания.;;
Имена персонажей;Arnold Wesker;Арнольд Вескер;Преступник из Готэма, выступающий вместе с куклой.;Чревовещатель;
Имена персонажей;Artemis;Артемида;Древнегреческая богиня охоты, сестра-близнец Аполлона и одна из создательниц племени амазонок.;;
Имена персонажей;Artemis Crock;Артемида Крок;Дочь Лоуренса Крока и Паулы Брукс, ставшая второй Тигрицей и женой Камерона Макента.;Тигрица;
Имена персонажей;Artemis of Bana-Mighdall;Артемида Бана-Мигдалльская (Артемида из Бана-Мигдалл);Амазонка из племени Бана-Мигдалл, защитница своего народа.;;
Имена персонажей;Arthur Brown (Arthur Charles Brown, Aaron Black);Артур Браун (Артур Чарльз Браун, Аарон Блэк);Отец Стефани Браун, бывший телеведущий, который стал преступником.;Мастер Улик;
Имена персонажей;Arthur Curry (Orin);Артур Карри (Орин);Царь Атлантиды, сын Атлана, Тома Карри и Атланны, сводный брат Орма и Дебби Перкинс, муж Меры, отец Артур-младшего и Энди Карри.;Аквамен;
Имена персонажей;Arthur Curry Jr.;Артур Карри мл.;Сын Аквамена и Меры, наследник престола Атлантиды, погибший от рук Дэвида Хайда.;Аквамалыш;
Имена персонажей;Arthur Joseph Curry;Артур Джозеф Карри;Третий Аквамен, появившийся после исчезновения второго во время Бесконечного Кризиса.;Аквамен;
Имена персонажей;Arthur Light;Артур Свет;Суперзлодей, умеющий создавать световые конструкции, позднее якобы вставший на путь исправления, бывший муж Кимио Хоси.;Доктор Свет;Не понимаю, почему даже не рассматривается вариант просто перевести говорящую фамилию. Помимо Артура, псевдоним «Доктор Свет» использует и его бывшая жена. Если оставить «Доктор Лайт», аргументируя это тем, что это её бывшая фамилия, получаем проблему: они давно разведены, и она явно презирает мужа. В комиксах подчёркивается, что она «Доктор Свет» прежде всего из-за способности управлять светом, а совпадение с фамилией мужа вторично, даже трагично. Логично тогда просто перевести говорящую фамилию. [Прим. D.Crane]
Имена персонажей;Asa;Аса;Демоническая сущность, захватившая тело больной женщины, чтобы обрести новую оболочку и стать исцеляющей силой из ада.;Кошмарная Медсестра;
Имена персонажей;Asmodel;Асмодель;Ангел‑мятежник, бывший король‑ангел Воинства Тельцов, ставший Архидемоном в аду, обладатель сверхчеловеческих сил и способностей.;;
Имена персонажей;Asmodeus;Асмодей;Владыка демонов, происходящий из Ада, отец Чаровницы (Суккубус) и Инкубуса.;;
Имена персонажей;Astarte;Астарта;Амазонка с Темискиры, сестра Ипполиты, Аталанты и Антиопы, тётя Дианы Принс.;;
Имена персонажей;Astorr;Асторр;Инопланетный воин, передавший свои силы и титул Драксу, чтобы тот стал новым Бесконечным человеком.;Бесконечный человек;
Имена персонажей;Astrid Arkham;Астрид Аркхем;Дочь Иеремии Аркхема, выросшая среди злодеев и возненавидевшая Бэтмена.;Рыцарь Аркхема;
Имена персонажей;Atalanta;Аталанта;Амазонка с Темискиры, сестра Ипполиты, Антиопы и Астарты, тётя Дианы Принс, соосновательница города амазонок Бана-Мигдалл.;;
Имена персонажей;Athena (Pallas Athena);Афина (Афина Паллада);Древнегреческая богиня мудрости, войны, искусства и ремёсел, покровительница амазонок и справедливости.;;
Имена персонажей;Atlan;Атлан;Атлантийский принц, средний сын Хонсу Завоевателя и Лорелеи, брат Кракена и Хаумонда, отец Артура Карри и Дебби Перкинс.;;
Имена персонажей;Atlan;Атлан;Великий царь Атлантиды, чьё правление привело к гибели государства после убийства его семьи братом Орином.;;
Имена персонажей;Atlanna;Атланна;Представительница атлантийского царского рода, мать Артура Карри и Орма.;;
Имена персонажей;Atlee;Этли;Героиня из Страты, обладающая способностью управлять камнями, ставшая третьей Террой.;Терра;Имя персонажа происходит от староанглийских слов æt («у») и lēah («поляна», «луг»), то есть буквально означает «тот, кто живёт у поляны». [Прим. D.Crane]
Имена персонажей;Atrocitus (Atros);Атроцитус (Атрос);Лидер и основатель Корпуса Красных Фонарей, движимый жаждой мести за гибель своей семьи.;Красный Фонарь;
Имена персонажей;Auberon;Оберон;Король Фэйри, беззаветно любящий супругу Титанию, несмотря на её неверность.;;
Имена персонажей;Audrey Spears;Одри Спирс;Наполовину представительница расы Х’Сан Наталлс, с кристаллическим телом, научившаяся жить среди людей вопреки своей необычности.;Призма;
Имена персонажей;Augustus Freeman (Arnus);Огастас Фриман (Арнус);Инопланетный супергерой, прибывший с планеты Терминус и проживший на земле больше сотни лет.;Идеал;
