Категория;Оригинал;Перевод;Пояснение;Смотри также;Комментарий
Псевдонимы;Catman;Кэтмен;Антигерой, мастер рукопашного боя и следопыт, использующий кошачью тематику.;Томас Блейк;Псевдоним персонажа является пародией на Бэтмена, а не попыткой создать мужскую версию Женщины-кошки, поэтому имя адаптировано по образцу Бэтмена. [Прим. D.Crane]
Псевдонимы;Catwoman;Женщина-кошка;Противоречивая воровка и антигерой Готэма, мастер боевых искусств и акробатики.;Селина Кайл;
Псевдонимы;Cavalier;Кавалер;Преступник из Готэма, выдающий себя за благородного рыцаря и противостоящий Бэтмену.;Мортимер Дрейк, Хадсон Пайл;
Псевдонимы;Caveboy;Кейвбой;Краткоживущее прозвище Гнаррка, отсылающее к его происхождению.;Гнаррк;
Псевдонимы;Celestial Archer;Небесный Лучник;Искусный лучник, владеющий Небесным луком И.;Сюй Тао;
Псевдонимы;Celsius;Цельсия;Супергероиня, способная управлять температурой — от ледяного холода до испепеляющего жара.;Арани Десаи;
Псевдонимы;Chameleon Boy;Хамелеон;Супергерой со способностью менять форму, дублировать себя и управлять элементами, обладающий усиленными чувствами.;Рип Даггл;
Псевдонимы;Changeling;Перевёртыш;Первый псевдоним Гара Логана, которым он пользовался в Роковом Патруле.;Гар Логан;
Псевдонимы;Chaos Kitten;Буйный котёнок;Бунтарка из Революционеров, захватившая подлодку, вступившая в схватку и принудительно зачисленная в Отряд самоубийц.;;
Псевдонимы;Cheetah;Гепарда;Злодейка с кошачьими чертами, носящая костюм гепарда или подвергшаяся мутации.;Присцилла Рич, Дебби Домейн, Барбара Минерва;В оригинале псевдоним не указывает на пол персонажа, а самка гепарда называется «гепардица». Тем не менее неверная адаптация прочно закрепилась и звучит приятно, поэтому менять её смысла нет. [Прим. D.Crane]
Псевдонимы;Cheetah;Гепард;Мужчина, отнявший титул Гепард у Барбары Миневры благодаря дару растительного божества Урзкартага.;Себастьян Баллестерос;
Псевдонимы;Cherry Bomb;Петарда;Юная напарница первого Человека-бомбы.;Глория Джеймс;«Вишнёвая бомбачка» — это вид простейших петард, внешне напоминающих вишню: круглое тельце с торчащим фитилём. Поскольку персонаж является юной напарницей Человека-Бомбы, имя «Петарда» оказалось очень точным вариантом. [Прим. D.Crane]
Псевдонимы;Cheshire;Чешир;Опасная международная террористка и одна из лучших наёмных убийц мира.;Джейд Нгуен;
Псевдонимы;Cheshire Cat;Чеширская Кошка;Подросток-линчеватель, бывшая помощница Женщины-кошки.;Лиан Харпер;
Псевдонимы;Childminder;Смотрея;Похититель героев-детей, унёсшая их на скрытый остров вне потока времени в 1940-х.;;Оба слова — устаревшие синонимы слова «няня». [Прим. D.Crane]
Псевдонимы;Chris KL-99;Крис КЛ-99;Космический исследователь XXI века, служивший в Федерации Объединённых Миров.;Кристофер Эмблер;
Псевдонимы;Chronos;Хронос;Сначала суперзлодей, а затем супергерой, обладающий способностью манипулировать временем по своему желанию.;Дэвид Клинтон, Уокер Гэбриел;
Псевдонимы;Cinnamon;Корица;Легендарная героиня и охотница за головами на Диком Западе.;Кейт Менсер;
Псевдонимы;Citizen Steel;Гражданин Сталь;Участник Общества Справедливости Америки, способный превращать свою кожу в сталь благодаря кибернетическим улучшениям.;Нэйтан Хейвуд;
Псевдонимы;Clayface;Глиноликий;Суперзлодей с пластичным телом из глины, способный менять форму и облик.;Бэзил Карло, Мэтт Хаген, Престон Пэйн, Кассиус Пэйн;
Псевдонимы;Clock King;Король Часов;Суперзлодей, одержимый временем и использующий устройства с часовой тематикой для своих преступлений.;Уильям Токман;
Псевдонимы;Clownhunter;Охотник на Клоунов;Готэмский мститель в маске, охотящийся на Джокера и его приспешников.;Бао Фам;
Псевдонимы;Cluemaster;Мастер Улик;Ставший преступником бывший ведущий телевикторины, намеренно оставляющим улики на местах преступлений.;Артур Браун;
Псевдонимы;Coagula;Коагула;Участница Рокового Патруля, способная превращать жидкости в твёрдое и обратно одним касанием, искусно взламывающая любой код.;Кейт Годвин;Псевдоним персонажа происходит от латинской фразы «Solve et Coagula» («Растворяй и сгущай»). Эта фраза связана с алхимией и оккультизмом. Она также ассоциируется с образом Бафомета благодаря иллюстрации, созданной французским аббатом, философом, оккультистом и тарологом Элифасом Леви (1810–1875), который изобразил её на руках демона. [Прим. D.Crane]
Псевдонимы;Cobalt Blue;Синий Кобальт;Суперзлодей, обладатель Синего Пламени, крадущий скорость противников с помощью талисмана и создающий огненные конструкции.;Малкольм Тоун;Вообще, псевдоним персонажа — это название синей краски, которую у нас называют «кобальтовая синь». То есть парня буквально назвали цветом, которым его и красили. Он окрасил себя в те цвета, в которые он окрасил себя. [Прим. D.Crane]
Псевдонимы;Comedian;Комедиант;Герой, но при этом нигилист в маске, наслаждающийся насилием и вершащий кровавое правосудие вне рамок армии.;Эдди Блейк;
Псевдонимы;Command Kid;Доминант;Одержимый демоном злодей, проникший в ряды Легиона супергероев.;Джиим Рехту;
Псевдонимы;Commander Steel (Steel the Indestructible Man);Командир Сталь (Сталь — Несокрушимый Человек);Супергерой времён Второй мировой войны, чьи кости были заменены на стальные.;Хэнк Хейвуд ст.;
Псевдонимы;Condiment King;Король Приправ;Суперзлодей, одержимый приправами и выступающий противником Бэтмена.;Бадди Стэндлер, Митчелл Майо;
Псевдонимы;Coordinator;Координатор;Псевдоним, который Текс Томпсон использовал на должности руководителя Героев по Вызову.;Текс Томпсон;
Псевдонимы;Copperhead;Медянка;Несколько злодеев, объединённых образом змеи — обыкновенной медянки.;Нэйтан Принс;
Псевдонимы;Cosmo, the Phantom of Disguise;Призрак маскировки Космо;Аристократ, ставший детективом-фантомом, распутывал загадки по всему миру.;;
Псевдонимы;Count Vertigo;Граф Вертиго;Опальный европейский аристократ, поражающий врагов головокружением, гипнозом и иллюзиями благодаря кибернетическому импланту.;Вернер Зайтл;
Псевдонимы;Creeper;Крипер;Безумный борец с преступностью с демонической сущностью.;Джек Райдер;
Псевдонимы;Crime Smasher;Гроза Преступности;Обновлённый псевдоним, под которым Алан Армстронг боролся с преступностью после окончания Второй мировой.;Алан Армстронг;
Псевдонимы;Crimson Avenger;Багровый Мститель;Один из первых супергероев-тайных защитников, действовавший во время Второй мировой войны.;Ли Трэвис, Альберт Элвуд;
Псевдонимы;Crimson Avenger;Багровая Мстительница;Третья ипостать героя Багровый Мститель.;Джилл Карлайл;
Псевдонимы;Crimson Fox (Le Renarde Rousee);Рыжая Лисица (Ля Ренард Рус);Близнецы‑мстители родом из Франции, взявшие общий псевдоним Рыжей Лисицы ради отмщения за родителей.;Констанс Д'Арамис, Вивиан Д'Арамис;Персонаж француженка, поэтому DC Comics предоставили французский вариант её псевдонима. Несмотря на ошибку в написании (которая поправлена в этом документе), по-французски он означает именно «рыжая лисица». [Прим. D.Crane]
Псевдонимы;Crush;Краш;Получеловек‑ползарнийка, обладающая сверхсилой, ускоренной регенерацией, повышенной выносливостью и обострёнными чувствами.;Сиомара Рохас;
Псевдонимы;Cyborg;Киборг;Супергерой с кибернетическим телом, получившим высокотехнологичные способности после трагической аварии.;Вик Стоун;
Псевдонимы;Cyborg Superman;Киборг-Супермен;Злодей-киборг с криптонианскими технологиями.;Хэнк Хеншоу;
Псевдонимы;Cyclone;Циклон;Супергероиня, способная управлять ветром, создавать вихри и летать за счёт воздушных потоков.;Максин Ханкель;
Псевдонимы;Cyclotron;Циклотрон;Супергерой с атомной энергией в основе сил, способный взрываться подобно бомбе и лишать противника сил прикосновением.;Терри Кёртис;
Псевдонимы;Cylvia Cyber (Cylvia Anita Cyber);Сильвия Кибер (Сильвия Анита Кибер);Властная красавица, стоявшая у истоков глобальной преступной сети.;Доктор Кибер;
Псевдонимы;Damage;Ущерб;Супергерой и живой реактор, превращающий боль и эмоции в неиссякаемую энергию. Или другой герой, способный на час стать неуязвимым существом.;Грант Эмерсон, Итан Эйвери;
Псевдонимы;Dark Ranger;Тёмный Рейнджер;Австралийский аналог Бэтмена.;Джонни Райли;
Псевдонимы;Darkfire;Даркфайр;Воин с планеты Тамаран, участник Омега-людей.;Рианд'р;
Псевдонимы;Darkstar;Тёмная Звезда;Псевдоним нескольких персонажей Вселенной DC, каждый из которых состоял в Корпусе Тёмных Звёзд.;Корпус Тёмных Звёзд;
Псевдонимы;Dawnbreaker;Сокрушитель зари;Охваченный жаждой мести Брюс Уэйн с Земли –32, исказивший силу кольца и превратившийся в мстителя с энергией тьмы и зелёного света.;Брюс Уэйн;
Псевдонимы;Deadeye;Дэдай;Изначально псевдоним Коула Кэша, который тот использовал на службе в Команде 7, а позже принятый Арчи Уоллером.;Коул Кэш, Арчи Уоллер;
