Категория;Оригинал;Перевод;Проверка;Комментарий
Сценарист;Alex Paknadel (Alexis Thomas James Paknadel);Алекс Пакнадел (Алексис Томас Джеймс Пакнадел);;
Сценарист;Allan Heinberg;Аллан Хейнберг;;
Сценарист;Alyssa Wong;Алисса Вонг;https://youtu.be/IPx39pYHPYE?si=_YI4pG47hyz4HDWE&t=8;
Сценарист;Bill Finger (Milton Finger);Билл Фингер (Милтон Фингер);;
Сценарист;Christopher Golden;Кристофер Голден;;
Сценарист;Ed Brubaker (Edwin Brubaker);Эд Брубейкер (Эдвин Брубейкер);;
Сценарист;Jamie Delano;Джэми Делано;https://youtu.be/8NfSOCd1J4g?si=XSc_69MhZ23sAKAQ&t=43;
Сценарист;Jeph Loeb (Joseph Loeb III);Джеф Лоуб (Джозеф Лоуб III);https://youtu.be/a7NO28xATBI?si=H2w78Zylq3k80I-V;
Сценарист;Jerry Siegel (Jerome Siegel, Joe Carter, Herbert S. Fine, Jerry Ess);Джерри Сигел (Джером Сигел, Джо Картер, Герберт С. Файн, Джерри Эсс);;
Сценарист;Kelly Thompson;Келли Томпсон;https://youtu.be/4XhCFeiT-A8?si=oZLYYgZAXQD2eZgm&t=12;
Сценарист;Mandy McMurray (Amanda McMurray);Мэнди Макмюррей (Аманда Макмюррей);;
Сценарист;Mattson Tomlin;Маттсон Томлин;;
Сценарист;Otto Binder (Otto Oscar Binder);Отто Биндер (Отто Оскар Биндер);;
Сценарист;Paul Dini;Пол Дини;;
Сценарист;William Moulton Marston (Charles Moulton);Уильям Молтон Марстон (Чарльз Молтон);;
Сценарист, Художник;Aaron Kuder;Аарон Кудер;https://youtu.be/O1KFbQYe0yo?si=noxnI5WVlpqVS2sK&t=5;
Сценарист, Художник;Aaron Lopresti;Аарон Лопрести;https://youtube.com/shorts/ZsZ7gPjbAHc?si=cKCd2RJMrQkR516g;
Сценарист, Художник;Amanda Conner;Аманда Коннер;https://youtu.be/Ib-mPTzuhpc?si=WUL_4yxlGyYiV47P&t=1;
Сценарист, Художник;Bob Kane (Robert Kahn, Ted Raye);Боб Кейн (Роберт Кан, Тед Рэй);;
Сценарист, Художник;Bruce Timm (Bruce Walter Timm);Брюс Тимм (Брюс Уолтер Тимм);;
Сценарист, Художник;Jill Thompson;Джилл Томпсон;https://youtu.be/MwW0HDuvL9o?si=t5wb2-D5Ecdu77Wo&t=17;
Сценарист, Художник;Jorge Corona;Хорхе Корона;https://youtu.be/Jt3BS0GDjsA?si=7m-3pPBsPF7rxRDX&t=105;
Сценарист, Художник;Lee Bermejo;Ли Бермехо;https://youtu.be/8KkGZOHDn_g?si=EyyNqUIzEGHLde_9&t=132;
Сценарист, Художник;Sam Kieth;Сэм Кит;;
Сценарист, Художник;Sean Murphy (Sean Gordon Murphy);Шон Мёрфи (Шон Гордон Мёрфи);;
Сценарист, Художник;Steve Bissette (Stephen R. Bissette);Стив Биссетт (Стивен Р. Биссетт);;
Художник;Aaron Campbell;Аарон Кэмпбелл;;
Художник;ACO (Alejandro Cal Oliveira);АКО (Алехандро Кэл Оливейра);;
Художник;Adam Archer;Адам Арчер;;
Художник;Adam Hughes (Adam T. Hughes);Адам Хьюз (Адам Т. Хьюз);;
Художник;Adriana Melo;Адриана Мело;https://youtu.be/QcMFPOmwAEw?si=NG2LDcMxF30cTnKi&t=8;
Художник;Adriano Lucas;Адриано Лукас;;
Художник;Al Barrionuevo (Alejandro Barrionuevo);Ал Баррионуэво (Алехандро Баррионуэво);https://youtu.be/ctwY1FYf--k?si=WlExzUiacTJ8tfaN;
Художник;Alan Quah;Алан Куа;https://youtu.be/eJvfgbUUp44?si=EBdVMSpI7HMfGiaN;
Художник;Alberto Ponticelli;Альберто Понтичелли;https://youtu.be/kenIpWONnEQ?si=GLPrqkuDWVOs01bJ&t=5;
Художник;Alessandro Vitti;Алессандро Витти;https://youtu.be/JtjesYpNsgw?si=X2qCKRzE7ABtH1z5;
Художник;Alex Toth (Alexander Toth);Алекс Тот (Александр Тот);;
Художник;Alisson Borges (Alisson Borges da Costa);Алиссон Борхес (Алиссон Борхес да Коста);;
Художник;Allan Jefferson;Аллан Джефферсон;;
Художник;Alvaro Martinez (Alvaro Martinez Bueno);Альваро Мартинес (Альваро Мартинес Буэно);;
Художник;Amancay Nahuelpan;Аманкай Науэльпан;https://youtu.be/YBKdHer0Ks4?si=tHOAiND5FvHnj7A9&t=16;
Художник;Amilcar Pinna;Амилкар Пинна;;
Художник;Anand RK (Anand Radhakrishnan);Ананд РК (Ананд Радхакришнан);;
Художник;André Lima Araújo (André Araújo);Андре Лима Араужо (Андре Араужо);https://www.youtube.com/live/NwfpxQmCPMo?si=7ZAKddknJHgAuAUb&t=60;
Художник;Andy Clarke (Andy J. Clarke);Энди Кларк (Энди Дж. Кларк);;
Художник;Babs Tarr (Barbara Tarr);Бабс Тарр (Барбара Тарр);;
Художник;Ben Stenbeck;Бен Стенбек;;
Художник;C.C. Beck (Charles Clarence Beck);Ч. К. Бек (Чарльз Кларенс Бек);;
Художник;Carla Cohen;Карла Коэн;;
Художник;David Nakayama;Дэвид Накаяма;https://youtu.be/Y1_3yBdFmwM?si=NSpSmMVvE-yfp97e&t=18;
Художник;Derrick Chew;Деррик Чю;https://youtu.be/BSZ_OmY8afE?si=7wXZrHOIdhNN52MH;
Художник;Dick Sprang (Richard W. Sprang);Дик Спранг (Ричард У. Спранг);;
Художник;Gabriele Dell'Otto;Габриэль Дель’Отто;https://youtu.be/1hCJJTD7fu0?si=fB5ObV905JT2c_oG;
Художник;Gleb Melnikov;Глеб Мельников;;
Художник;Hayden Sherman;Хейден Шерман;https://youtu.be/4XhCFeiT-A8?si=oZLYYgZAXQD2eZgm&t=12;
Художник;Helena Masellis;Елена Мазеллис;https://youtu.be/Xf26Zshn-V8?si=-riUNlBadVFb9DLA&t=31;
Художник;In-Hyuk Lee (Inhyuk Lee);Ли Инхёк;;
Художник;Ivan Talavera;Айвен Талавера;;
Художник;Jack Burnley (Hardin Burnley);Джек Бёрнли (Хардин Бёрнли);;
Художник;Jae Lee;Джэй Ли;;
Художник;Jim Cheung (Jimmy Cheung);Джим Чёнг (Джимми Чёнг);https://youtu.be/nS8qh-notHE?si=OwJ6fYTKNufBCXjl&t=6;
Художник;Joe Shuster (Joseph Shuster);Джо Шустер (Джозеф Шустер);;
Художник;John Ridgway;Джон Риджвей;;
Художник;John Sikela (John J. Sikela);Джон Сикела (Джон Дж. Сикела);;
Художник;KyuYong Eom;Ом Кюён;;
Художник;Matheus Lopes;Матеус Лопес;;
Художник;Mattia De Iulis;Маттиа де Юлис;https://youtu.be/z8PPnWZG2PA?si=UCc6xDqXQWxgr_x0&t=61;
Художник;Mauricet (Alain Mauricet);Морисе (Ален Морисе);;
Художник;Michael Avon Oeming (Mike Oeming);Майкл Эйвон Оминг (Майк Оминг);https://youtube.com/shorts/ADebuPpf0P4?si=NHEIGepMrbd81oRR;
Художник;Muju Monster (Shawn Ignatius Tan);Mujumonster (Шон Игнатиус Тан);;
Художник;Pablo Villalobos (Lobos);Пабло Вильялобос (Лобос);;
Художник;Paul Norris (Paul Leroy Norris);Пол Норрис (Пол Лерой Норрис);;
Художник;Riley Rossmo (Riley Michael Rossmo);Райли Россмо (Райли Майкл Россмо);https://youtu.be/7lgmMVmGYXQ?si=c1W5j_VcJd0h-4sX&t=8;
Художник;Sorah Suhng;Сора Сан;https://youtu.be/bVhPwS_KLWE?si=v2QEqjVeYSJyNu6n;
Художник;Tula Lotay (Lisa Wood);Тула Лотей (Лиза Вуд);https://youtu.be/qUXON4FUdyE?si=xd2Nx0BhihPDUgd8&t=13;
Художник;Tyler Kirkham;Тайлер Киркхэм;https://youtu.be/h1ab9PIIPck?si=qLR7ppywL81ncqBP;
Художник;Will Jack;Уилл Джек;;
Художник;Xanthe Bouma;Зенти Боума;https://youtu.be/STMmcq_zihQ?si=UP2cL8n2ZrgJ5LVe&t=16;
Художник;Xermanico (Alejandro Germanico Benito Gonzalez);Ксерманико (Алехандро Германико Бенито Гонсалес);;
Художник;Yoshitaka Amano (Amano Yoshitaka);Амано Ёситака;;
